CONDITION_ID	PHENOTYPE_ID
10260	1627|2314|5678|7694|15395
10261	2182|2303|2331|3122|14216|14425|15973|15976
10262	1001|3120|11832|11836|12274|12357|17313
10263	12773
10264	77|623|1073|1627|2162|2314|12381|12384|13215|13707|16044|16049|16104|16233|18296|20817|20848|20851
10265	3123|12272|14216|16044|16136|18557|18900|20435
10266	3815|12537|14361|20204
10267	2304|14216|14227
10268	11391|12167|13346|19594
10269	14267|19596
1027	11346|11348|11358|12463|12490|12860|13992|14357|15257|15743|15744|15746|19598
10270	622|3180|5797|10816|10846|11141|11501|13631|13860|14555|14559|15401|15419|16153|17384|19586|20376
10271	12412|12846|13568|13631|14468|15419
10272	763|1454|3123|5339|5797|11678|13869|16007|17684|19585
10273	12846
10274	11379|14207|15296|18391
10275	11379|14207|18391
10276	3123|11335|11901|14537|17003|18582|19598
10277	1312|2025|2027|15624|16589|16594|16631|17109|17204|17206
10278	14537|14628|16072|19598|19705
10279	12274|18501
1028	1237|1250|1289|1582|11289|13452|13986|14767|16019|16063|16072|16139|16288|17317|18636
10280	16210
10281	12846
10282	2331|13680
10283	11527|13151
10284	12846
10285	12846
10286	11289|12263|13434|13491|13869|17283|17348|17349
10287	12846
10288	12846
10289	1276|12490|12634|12775|14443|19601|19606
1029	973|1247|3123|11861|11908|11910|11911|11943|11958|11960|11992|12025|12029|12363|12759|14517|17010|17011|19585
10290	761|769|1228|11697|11716|11802|11905|12028|12859|13593|13709|13823|14229|15809|16107|16261|18076|18550|18551|19586|21489
10291	77|84|86|91|94|629|1478|2275|2314|2414|3795|8862|11309|11716|12641|12774|12882|13334|13949|14567|15302|15404|16038|16049|16680|19902|19927|19952
10292	12450|12463|19596
10293	2687|15363
10294	2087|2597|3123|5797|7971|11468|11737|12640|12641|12773|13084|14470|15395
10295	16890
10296	762|5339|5797|10734|11409|12255
10297	762|5339|5797|10734|11409|12255
10298	769|7691|12411|12860|13455|13662|13830|14527|14537|16080|18192|19592|19598|20588
10299	13806
103	1001
1030	11455|11910|11964|12020|12022|12025|12114|13806|14540
10300	12463|12490|14442|17804|17869|19596|19689
10301	7691|19585|19588|19608
10302	1339|1578|1951|7160|7690|8221|11338|11344|12479|13743|15826|16255|16526|17614|19480|19488|19489|19599|19608|19866|19868|19886|19887|19912
10303	12345
10304	12345
10305	13204
10306	13204
10307	13204
10308	20462
10309	290|20462
1031	1944|12243|12289|12297|12305|12346|14423|14734|16133|16395|20452|22025
10310	13504
10311	12336|13692
10312	290|20462
10313	290|20462
10314	13086|13346|18901|19596
10315	2378|11278|11547|13798|15759|16038
10316	2127|11142|12117|15048|18821
10317	5270|5797|12357|16036
10318	109|14168
10319	12846
1032	975|1364|1397|1399|1400|1541|1627|1797|2027|2112|3871|7756|8765|10317|10587|11280|11448|12272|12349|12719|12720|12724|12774|12827|13017|13492|13934|14039|14272|14584|15348|15568|15607|15615|15856|16062|17019|17096|17110|17116|17120|17136|17139|17178|17184|17203|17332|17413|17561|18296|18324|18361|18736|18829|19575|20466
10320	12846
10321	67
10322	80|94|13392|14168|15480|19482|19910|20223
10323	11|49|2414|3123|5428|12052|12078|12084|13938|14219|14471|15396|15474|15499|16023|16514|17522|17764
10324	94|105|15052|19907
10325	25|79|86|94|109|2373|4130|9232|11888|11889|12774|13952|14168|14170|14193|14621|15052|15480|18390|19482|19868|19937|20223
10326	2373|11888|11889|13952|14168|14621
10327	1033|1799|2369|2373|9034|11572|11714|11993|12167|12357|12363|12774|17946
10328	1516|1532|1534|3802|12546|12774
10329	3798|3802|12559|14497|15463|15516|15624|16615
1033	861|1070|1071|1081|1083|1084|1312|1364|1696|1942|2157|2161|2163|2164|2297|2331|3145|8765|11612|12428|12641|13280|13556|13582|13609|13854|13855|14425|14445|15317|15318|15333|15856|16389|17378|17530|17532|18649|18680|19372|19379|19380|19435|20080|20472|20828|22328
10330	3795|12827|17044
10331	2382|11697|12559|12575|13065|15462|15463
10332	973|1033|11714
10333	1516|1532|1627|1704|1910|10865|11289|11517|11534|12436|12774|14040|15386|17080|17103|17109|17200|17215|17423|17425|17916|18018|18299|18704|20128|20131|22099|22523
10334	973|12838
10335	1001|1023|1033|5797|7756|11725|12039|12357|13207|14428
