GENE_ID	CONDITION_ID
ENSG00000067836	OMIM:226750
ENSG00000067842	OMIM:302500
ENSG00000067992	OMIM:300905
ENSG00000068078	OMIM:100800
ENSG00000068078	OMIM:109800
ENSG00000068078	OMIM:114500
ENSG00000068078	OMIM:146000
ENSG00000068078	OMIM:149730
ENSG00000068078	OMIM:162900
ENSG00000068078	OMIM:182000
ENSG00000068078	OMIM:187600
ENSG00000068078	OMIM:187601
ENSG00000068078	OMIM:273300
ENSG00000068078	OMIM:602849
ENSG00000068078	OMIM:603956
ENSG00000068078	OMIM:610474
ENSG00000068078	OMIM:612247
ENSG00000068078	OMIM:616482
ENSG00000068120	OMIM:615643
ENSG00000068305	OMIM:608320
ENSG00000068323	OMIM:300854
ENSG00000068366	OMIM:300387
ENSG00000068438	OMIM:309549
ENSG00000068615	OMIM:610250
ENSG00000068615	OMIM:614751
ENSG00000068654	OMIM:616462
ENSG00000068724	OMIM:243150
ENSG00000068796	OMIM:615411
ENSG00000068831	OMIM:615888
ENSG00000068885	OMIM:611263
ENSG00000068976	OMIM:232600
ENSG00000069011	OMIM:119800
ENSG00000069329	OMIM:614203
ENSG00000069431	OMIM:239850
ENSG00000069431	OMIM:608569
ENSG00000069431	OMIM:614050
ENSG00000069482	OMIM:616461
ENSG00000069696	OMIM:143465
ENSG00000069974	OMIM:607624
ENSG00000070018	OMIM:610947
ENSG00000070018	OMIM:616724
ENSG00000070019	OMIM:614616
ENSG00000070019	OMIM:614665
ENSG00000070061	OMIM:223900
ENSG00000070182	OMIM:182870
ENSG00000070182	OMIM:616649
ENSG00000070193	OMIM:149730
ENSG00000070193	OMIM:180920
ENSG00000070610	OMIM:614409
ENSG00000070614	OMIM:616116
ENSG00000070669	OMIM:615574
ENSG00000070729	OMIM:613767
ENSG00000070748	OMIM:254210
ENSG00000070785	OMIM:603896
ENSG00000070814	OMIM:154500
ENSG00000070831	OMIM:616737
ENSG00000070915	OMIM:263800
ENSG00000071243	OMIM:275355
