CONDITION_ID	GENE_ID
OMIM:116700	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116800	ENSG00000026025|ENSG00000100053|ENSG00000100122|ENSG00000102878|ENSG00000105370|ENSG00000108255|ENSG00000109501|ENSG00000111846|ENSG00000118231|ENSG00000121634|ENSG00000121743|ENSG00000125864|ENSG00000135517|ENSG00000160202|ENSG00000163254|ENSG00000163499|ENSG00000163820|ENSG00000170819|ENSG00000178573|ENSG00000182187|ENSG00000188158|ENSG00000196116|ENSG00000196431|ENSG00000213139|ENSG00000244752
OMIM:116920	ENSG00000149781|ENSG00000160255
OMIM:117000	ENSG00000196218
OMIM:117210	ENSG00000042088|ENSG00000101327|ENSG00000102466|ENSG00000107290|ENSG00000112592|ENSG00000124788|ENSG00000126583|ENSG00000128881|ENSG00000130638|ENSG00000131018|ENSG00000131398|ENSG00000141385|ENSG00000141837|ENSG00000150995|ENSG00000151835|ENSG00000156475|ENSG00000166340|ENSG00000166546|ENSG00000167658|ENSG00000230223
OMIM:117300	ENSG00000101439|ENSG00000136156|ENSG00000142192
OMIM:117360	ENSG00000120725|ENSG00000150995|ENSG00000171385|ENSG00000205090
OMIM:117550	ENSG00000008441|ENSG00000165671
OMIM:117650	ENSG00000004848|ENSG00000012061|ENSG00000060642|ENSG00000066084|ENSG00000086758|ENSG00000101773|ENSG00000104884|ENSG00000106688|ENSG00000111199|ENSG00000114209|ENSG00000118058|ENSG00000119042|ENSG00000125675|ENSG00000125835|ENSG00000126012|ENSG00000132549|ENSG00000134323|ENSG00000136280|ENSG00000141627|ENSG00000143183|ENSG00000143473|ENSG00000147852|ENSG00000150995|ENSG00000151148|ENSG00000152217|ENSG00000156471|ENSG00000158290|ENSG00000158352|ENSG00000167716|ENSG00000169057|ENSG00000169607|ENSG00000172534|ENSG00000172943|ENSG00000178538|ENSG00000189221|ENSG00000196628|ENSG00000281813
OMIM:118100	ENSG00000005102|ENSG00000156466|ENSG00000184344
OMIM:118200	ENSG00000104725|ENSG00000109099|ENSG00000122877|ENSG00000158887|ENSG00000189067|ENSG00000277586
OMIM:118210	ENSG00000054523|ENSG00000075785|ENSG00000090861|ENSG00000104369|ENSG00000104381|ENSG00000104725|ENSG00000104973|ENSG00000106105|ENSG00000106211|ENSG00000109654|ENSG00000111199|ENSG00000116688|ENSG00000148356|ENSG00000152137|ENSG00000158887|ENSG00000160789|ENSG00000181192|ENSG00000197102|ENSG00000277586
OMIM:118220	ENSG00000104725|ENSG00000109099|ENSG00000122877|ENSG00000158887|ENSG00000189067|ENSG00000277586
OMIM:118300	ENSG00000104725|ENSG00000109099|ENSG00000122877|ENSG00000158887|ENSG00000189067|ENSG00000277586
OMIM:118400	ENSG00000087266
OMIM:118450	ENSG00000101384|ENSG00000134250
OMIM:118600	ENSG00000154122
OMIM:118700	ENSG00000136352
OMIM:118800	ENSG00000117394|ENSG00000120925|ENSG00000127838|ENSG00000173175
OMIM:119300	ENSG00000117595|ENSG00000158055
OMIM:119500	ENSG00000117595|ENSG00000183421
OMIM:119540	ENSG00000100014|ENSG00000105996|ENSG00000122145|ENSG00000139219|ENSG00000177706|ENSG00000233927
OMIM:119600	ENSG00000112367|ENSG00000120149|ENSG00000124813
OMIM:119800	ENSG00000069011|ENSG00000141543|ENSG00000182872
OMIM:119900	ENSG00000164120
OMIM:120100	ENSG00000012174|ENSG00000067182|ENSG00000087460|ENSG00000118402|ENSG00000121552|ENSG00000132963|ENSG00000136689|ENSG00000142405|ENSG00000156052|ENSG00000162711|ENSG00000163104|ENSG00000163297|ENSG00000166147|ENSG00000172867|ENSG00000203782
OMIM:120200	ENSG00000007372|ENSG00000075891|ENSG00000089289|ENSG00000108474|ENSG00000111678|ENSG00000119614|ENSG00000164690|ENSG00000164946|ENSG00000165821
OMIM:120330	ENSG00000007372|ENSG00000075891|ENSG00000089289|ENSG00000108474|ENSG00000111678|ENSG00000119614|ENSG00000164690|ENSG00000164946|ENSG00000165821
OMIM:120430	ENSG00000007372
OMIM:120435	ENSG00000076242|ENSG00000095002|ENSG00000116062|ENSG00000119684|ENSG00000119888|ENSG00000122512|ENSG00000163513
OMIM:120790	ENSG00000009724|ENSG00000049768|ENSG00000069974|ENSG00000073009|ENSG00000088305|ENSG00000102575|ENSG00000104738|ENSG00000116586|ENSG00000121966|ENSG00000128340|ENSG00000134460|ENSG00000135899|ENSG00000149131|ENSG00000150455|ENSG00000153563|ENSG00000163961|ENSG00000166349|ENSG00000168028|ENSG00000171608|ENSG00000172936|ENSG00000175097|ENSG00000182326|ENSG00000197766|ENSG00000198001|ENSG00000198821|ENSG00000211592|ENSG00000269335|ENSG00000274619
OMIM:120970	ENSG00000007062|ENSG00000048545|ENSG00000079841|ENSG00000091622|ENSG00000092200|ENSG00000102001|ENSG00000105392|ENSG00000119685|ENSG00000132518|ENSG00000139323|ENSG00000140522|ENSG00000148600|ENSG00000156172|ENSG00000156313|ENSG00000157869|ENSG00000168615|ENSG00000173976|ENSG00000196189|ENSG00000198691
OMIM:121050	ENSG00000109063|ENSG00000130595|ENSG00000130598|ENSG00000133020|ENSG00000138829|ENSG00000154864|ENSG00000171551|ENSG00000196091|ENSG00000198467
OMIM:121200	ENSG00000075043|ENSG00000105204|ENSG00000120729|ENSG00000184156|ENSG00000281151|ENSG00000281320
OMIM:121201	ENSG00000075043|ENSG00000105204|ENSG00000120729|ENSG00000184156|ENSG00000281151|ENSG00000281320
OMIM:121300	ENSG00000080819
OMIM:121800	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:121820	ENSG00000120708
OMIM:121850	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:121900	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:122000	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:122100	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:122200	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:122470	ENSG00000072501|ENSG00000108055|ENSG00000147099|ENSG00000164190|ENSG00000164754
OMIM:122600	ENSG00000090932|ENSG00000106003|ENSG00000149922|ENSG00000179111|ENSG00000188095
OMIM:122700	ENSG00000005381|ENSG00000007933|ENSG00000073578|ENSG00000091483|ENSG00000100075|ENSG00000101981|ENSG00000102144|ENSG00000103150|ENSG00000111716|ENSG00000116984|ENSG00000125741|ENSG00000125877|ENSG00000138109|ENSG00000138796|ENSG00000147224|ENSG00000147647|ENSG00000148090|ENSG00000154646|ENSG00000160282|ENSG00000165471|ENSG00000165841|ENSG00000166710|ENSG00000167397|ENSG00000167642|ENSG00000176715|ENSG00000204370|ENSG00000205138|ENSG00000239900|ENSG00000255974|ENSG00000273686|ENSG00000280905
OMIM:122860	ENSG00000119650|ENSG00000152661|ENSG00000154122|ENSG00000157796|ENSG00000167941
OMIM:122880	ENSG00000017427|ENSG00000060718|ENSG00000081479|ENSG00000100345|ENSG00000100416|ENSG00000105409|ENSG00000105880|ENSG00000107485|ENSG00000121957|ENSG00000133835|ENSG00000135903|ENSG00000139734|ENSG00000162065|ENSG00000165474|ENSG00000177807|ENSG00000186895|ENSG00000197535|ENSG00000198246|ENSG00000261155
