122	0|6|102|103|640|645|680|5519|7157|8892|11134|12638|14272|15895|17882|22537|22538
123	0|6|102|103|122|640|645|680|5519|7157|8892|11134|12638|14272|15895|17882|22537|22538
124	0|6|102|103|640|7157|8892|11134|15895|22537|22538
125	0|6|102|103|124|640|1102|1514|1531|1697|1705|3118|7157|7686|8892|9365|9379|10652|10653|10858|11134|11486|12045|12064|15888|15895|17746|17747|22537|22538
126	0|75|102|103|8892|11134|15895|22537|22538
127	0|6|102|103|124|640|921|7157|8892|11134|15895|22537|22538
128	0|6|102|103|119|120|640|645|7157|8892|11134|11652|12045|12840|14489|15886|15895|16128|17746|17747|21631|22537|22538|26585|27710
129	0|6|102|103|124|640|1365|7157|8892|11134|12045|12064|12067|15895|17746|17747|22537|22538
130	0|6|102|103|119|131|640|645|1985|4883|7157|7457|7459|8449|8892|10676|10776|11134|11652|12045|12840|14489|15886|15895|16128|17746|17747|21631|22537|22538
131	0|102|103|640|1985|4883|7457|7459|8449|8892|10776|11134|15895|22537|22538
132	0|6|102|103|112|640|5687|7157|8892|11134|12045|12046|15895|17746|17747|22537|22538
133	0|102|22537
134	0|102|133|197|224|1505|11134|14312|15885|15889|22537|22538
135	0|102|133|134|197|224|1505|7994|11134|14312|15885|15889|22537|22538|22582|23409|32028
136	0|102|133|134|143|197|224|1505|8485|11134|14312|15885|15889|22537|22538
137	0|102|133|134|143|197|224|558|1505|9286|11134|11486|14209|14312|15885|15888|15889|22537|22538
138	0|102|133|134|137|143|197|224|558|1505|2237|2702|7994|8461|9286|9785|11134|11486|14209|14312|15880|15885|15888|15889|22537|22538|28186
139	0|102|133|134|197|224|1505|11134|14312|15885|15889|22537|22538|22582
140	0|102|133|134|197|224|1505|7994|11134|14312|15885|15889|22537|22538|22582|23409|26012|32028
141	0|102|133|134|139|153|173|174|197|224|1505|7995|11134|14312|14335|14337|15885|15889|21012|22537|22538|22582
142	0|102|133|134|137|143|197|224|558|1505|9286|11134|11486|14209|14312|15885|15888|15889|22537|22538
143	0|102|133|134|197|224|1505|11134|14312|15885|15889|22537|22538
144	0|102|133|134|143|197|224|1505|11134|14312|15885|15889|15894|22537|22538
145	0|102|133|134|143|144|146|197|224|555|733|1505|8485|11134|14312|15885|15889|15894|22537|22538
