GENE_ID	CONDITION_ID
11908	3264|13758|13768
11909	7213|7214|9976|12576
11910	19382
11913	3602|3604|7785|7786|10587|10588|10589|10590|11328
11916	11376
1192	2238|14501
11920	13913|24693
11921	5880|6358|10643
11922	4490|4525|16140|17098
11924	3879|3881
11925	3560
11929	21599
1193	1940|2127|4899|4900|8504|9212|11280|11281|14596|22269
11934	15074|15270|19624
11935	15318
11938	5374
11939	18894
11941	10460
11948	15488
11949	11082|12310|12311|12755|13950|14230|19946|20152|20153
1195	14094|14143|15020
11950	13764
11951	8702
11953	16263
11955	21479
11957	4700|17616
11959	13662
1196	17135|17136
11961	3084|6984|17453|18973|18974
11962	8867
11965	3130
11968	17107|17202
11969	6148
1197	19414|21981
11972	20104
11974	24297|24298|24369|24370
11976	5770|9080|19313
11978	1002|2537|9478|13854|13902|14099
11979	5734
11982	5618
11986	6888|10107
11988	17118|18947|18976
11989	20484|20485
1199	1841|2330|2341|4618|4619|4620|11388|13201|15559|18681|20591|21166|22881|23413|24329
11990	8002
11991	17198
11997	3304|10544|10545
12005	10791
1201	15431
12014	22979|22980
12015	10004|10383|11406|13501|15679|23440|23441|24202
12016	10717
1202	11549
12021	2502|3659|3660|3661
12022	23314
12023	10172|12805|23094
12025	12561|15844
12028	1900|1903|1905|1908|1929|3363|3364|8405|9725|11766|15243|15419|16585|17602|17603|18341|20060
12029	19320
12030	3441|12349|13278
12034	3893|3894|17144|17560
12035	22397
12037	12838|12892|13943
1204	6516|6519|10644|20764|22372
12044	6671|10239
12045	18314
12046	19886|19889|24007
12048	15106|15448
12049	180|8610
1205	21081
12051	4949
12052	23020
12054	16170|16390|22855|22856
12056	22551|22923|23476
1206	20719|20720
12060	5233|5234
12061	3498
12066	23695
12068	7225|8192
12069	9444
12070	2477|2478|8117|8129|11110
12072	4670
12073	5066
12074	3797|5008
12075	10743|17288
12076	3075|3328|6575|14794|14795
12077	4467|4486|7858|12645
12078	2685
1208	13335|13336
12080	14807|14808
12082	12372|14634|17520|19248|20844
12084	13205|14206
12085	22133|23801
12086	24341
12087	3012
12088	4624|5070|5444|8985|22983
12089	8035|8716|11444|17829
1209	10673
12091	18568
12093	18130
12094	14213|14649|14650
12097	9846
12098	18017
12099	16114
1210	17367
12105	13123|14375
12107	4110|18045
12108	16737
1211	13077|14741
12110	23796
12112	1068|1069|1070|15711
12114	20542|21999
12115	14627
12116	19990
12117	20006|20007|20008
12118	4379
1212	2420|16678|21958
12120	933|1192|2950|3077|11276|14724|18875
12123	21743
12124	11005
12126	9691|16814|19255|24605
12130	21789
12131	16997
12132	5224|5225|22046
12134	22302
12136	4860|6033|6815|15595
12138	3138|3162|13063
12139	21445
1214	5882|23644
12141	7634|21119
12142	7923|7925|7951|7956
12143	5977
12144	1956|2331|2332|2333|4960|6987|7003|7004|7005|7763|7765|7766|7924|7957|8115|8116|8175|10419|10420|10421|12425|12426|12427|16089|16090|21814
12146	4105|10203
12147	16724|22192
12148	1452|14829|18175|23321
1215	1036|3117|10583|10712|10755|11534|11615|14762|16234|16867
12150	9712|14728|15615|15616|15617
12157	15731
12159	4433|4489|4524|4558|4559
12163	17801
12165	6677
12167	8167
12171	18439
12172	3759|5560|16387
12173	13900|22300
12175	2482|22920
12176	15203
12179	16739
1218	4965|11575|13963
12180	8493
12181	20969
12183	3390|4418
12184	22079
12187	22634
12188	2818|9519
12189	3199|10925|12374
1219	3743|11071|16002
12192	9051
12193	4564|4566
12196	13158
12199	7138|10766|23848|24020|24021
12200	2307
12201	17370
12203	8334|9437
12204	13545|13546|22070
12205	10287|11823
12206	2532|3876|4033|14891|15713|15979|16191|16192
12208	12234|13001
12209	2939|2940|6017|12531|14853|16230|17060
12213	20398|20399
12215	20326
12216	9880|10446|10447
12217	3409
12218	14971
1222	1459|1460|1461|1462|1463|19917|23829
12220	21562|23249
12221	23884
12224	23430|24648
12229	15835
1223	20363
12231	18117
12232	9288
12233	13225
12238	16224
1224	1253|3121|3166|3167|3168|7288|7289|11053|14431|18116
12240	3534|3775
12242	9081
12243	8674
12244	22163
12246	22384|22392
12247	9996|20328
12249	24216
12251	21978
12253	7759
12255	16082|16283|16286|20677
12259	8726
1226	24579
12260	1916|4723
12267	7867
1227	7151|8622|8853|9413|16178|19240|20481|24239
12271	7893|19839
12272	4750|6641|17675|24156
12273	10010|22575
12278	8098|23638
12279	9953|16068|18209|23974
1228	2298
12287	1016|5264|10830
12290	12398
12293	7979|9724|13046
12296	8912|9143|20701
123	9932|13781
1230	12448|12724
12301	21003
12305	15237|23462
12307	1707|1793|5533
12308	4077|4887|23252
12309	2056|21250
1231	10192
12310	2186|2243|4713|5382|6955
12312	13230
12314	4098|18023
12318	12191|12204|14231|15514
12320	3981|4920|10491
12322	15298|17013
12323	15905
12325	21188
12326	4629|10848|10853|16647|20270
12327	8586|14893|14975|16833|18556
12328	15224|19068|20483
1233	8315
12330	17637|19590
12333	8706
12336	15375
12338	8929
1234	4675|5488|5489
12340	3710|12439|12440
