GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000003509	5.12181350396e-06	0.0156931746877	9392.0	0.147
ENSG00000003756	0.0120621881742	0.0285528519576	12642.0	0.501
ENSG00000003987	0.0	0.000777217710063	299.5	0.254
ENSG00000003989	0.00302361130342	0.0103554653125	7224.0	0.287
ENSG00000004059	0.0	0.0306002733541	12994.0	0.026
ENSG00000004139	0.0169876932456	0.020522619145	10867.0	0.22
ENSG00000004142	0.0356700273404	0.0228804185587	11442.0	0.126
ENSG00000004399	0.0453005331906	0.0338706739584	13476.0	0.425
ENSG00000004455	0.0818109152839	0.0237984408924	11646.0	0.563
ENSG00000004468	0.0195041736273	0.00981319181885	6988.0	0.418
ENSG00000004478	0.0210366075513	0.0811441865254	16166.0	0.398
ENSG00000004487	0.00287998580689	0.275786619035	17185.0	0.402
ENSG00000004534	0.0	0.0121684555254	8016.0	0.456
ENSG00000004660	0.00515598050147	0.0230582424702	11481.0	0.558
ENSG00000004700	0.00274742478019	0.0209399459759	10972.0	0.498
ENSG00000004766	0.0	0.0244841251349	11802.0	0.664
ENSG00000004776	0.0	0.00864009388754	6376.0	0.496
ENSG00000004777	0.0282017851664	0.0055902370515	4666.0	0.72
ENSG00000004779	0.0	0.0228640870672	11440.0	0.194
ENSG00000004799	0.0126522280653	0.00507213502721	4359.0	0.496
ENSG00000004809	0.0	0.00093297596599	809.0	0.712
ENSG00000004838	0.0720937340598	0.0204992892026	10859.0	0.509
ENSG00000004846	0.0	0.00145364442716	1373.0	0.554
ENSG00000004848	0.1740901075	0.0323699486687	13275.0	0.282
ENSG00000004864	0.0841202386109	0.0725141130558	15911.0	0.211
ENSG00000004866	0.0	0.0123282200485	8072.0	0.503
ENSG00000004897	0.0	0.0848442011919	16237.0	0.78
ENSG00000004939	0.0458047139554	0.0271384757091	12373.0	0.44
ENSG00000004948	0.0169491767124	0.0184676623076	10292.0	0.963
ENSG00000004961	0.100443268242	0.0301452628416	12912.0	0.665
ENSG00000004975	0.0445120599108	0.119470394652	16722.0	0.6
ENSG00000005001	0.0	0.00180615290265	1855.0	0.57
ENSG00000005007	0.00756940736723	0.115568986254	16691.0	0.289
ENSG00000005020	0.00747249166659	0.0148249622405	9096.0	0.546
ENSG00000005022	0.0	0.114610282505	16685.0	0.127
ENSG00000005059	0.0241790595658	0.00724507854369	5664.0	0.156
ENSG00000005073	0.0882464773696	0.0168530296682	9784.0	0.715
ENSG00000005075	0.0	0.0377287080826	13963.0	0.495
ENSG00000005100	5.11955600565e-06	0.0128583037726	8323.0	0.482
ENSG00000005102	0.105773594633	0.0485392649906	14887.0	0.62
ENSG00000005108	0.0	0.00251506155153	2435.0	0.578
ENSG00000005156	0.00851891838454	0.0560638398649	15327.0	0.252
ENSG00000005175	0.0	0.0650129078765	15696.0	0.354
ENSG00000005187	5.16667106482e-06	0.00156247422971	1464.0	0.602
ENSG00000005189	0.0	0.0023993454055	2319.0	0.298
ENSG00000005194	0.0268430382929	0.00962259390172	6894.0	0.391
ENSG00000005238	0.0	0.00819447831366	6172.0	0.634
ENSG00000005243	0.0	0.00261306060683	2555.0	0.227
ENSG00000005249	0.0432226849301	0.0490674360361	14923.0	0.331
ENSG00000005302	0.0	0.0112972679803	7648.0	0.551
ENSG00000005339	0.226432234928	0.357944822549	17232.0	0.515
ENSG00000005379	5.16667106482e-06	0.0204393539648	10843.0	0.443
ENSG00000005381	0.0457900375118	0.0090327825729	6569.0	0.65
ENSG00000005421	0.0151535602403	0.00500604404754	4313.0	0.28
ENSG00000005436	0.0	0.0186769416942	10352.0	0.53
ENSG00000005448	0.0	0.00597772850716	4916.0	0.558
ENSG00000005469	0.0	0.00648490208102	5201.0	0.101
ENSG00000005471	0.150085619542	0.0279004336089	12512.0	0.178
ENSG00000005483	0.0299886393175	0.0147684372132	9075.0	0.725
ENSG00000005486	0.0	0.00550346547457	4617.0	0.355
ENSG00000005513	0.0321829745197	0.0274678597844	12433.0	0.703
ENSG00000005700	0.0	0.0439284308445	14538.0	0.15
ENSG00000005801	0.0	0.00250445730439	2422.0	0.728
ENSG00000005810	0.0303072685518	0.0427874146104	14435.0	0.348
ENSG00000005812	0.00111789253604	0.0105055756072	7295.0	0.737
