GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000004838	0.0720937340598	0.0234001062791	11496.0	0.547
ENSG00000004846	0.0	0.00499516999661	1360.0	0.676
ENSG00000004848	0.1740901075	0.0347850693243	14636.0	0.286
ENSG00000004864	0.0841202386109	0.0451009652294	15931.0	0.239
ENSG00000004866	0.0	0.0167987394213	8450.0	0.494
ENSG00000004897	0.0	0.0418489700262	15631.0	0.469
ENSG00000004939	0.0458047139554	0.0276212929877	12983.0	0.465
ENSG00000004948	0.0169491767124	0.0204578497195	10280.0	0.965
ENSG00000004961	0.100443268242	0.0298286391067	13547.0	0.699
ENSG00000004975	0.0445120599108	0.0535092499881	16455.0	0.587
ENSG00000005001	0.0	0.00636500181388	2271.0	0.356
ENSG00000005007	0.00756940736723	0.0488046082267	16211.0	0.135
ENSG00000005020	0.00747249166659	0.0183761153505	9287.0	0.514
ENSG00000005022	0.0	0.0477300303665	16148.0	0.043
ENSG00000005059	0.0241790595658	0.0124293048909	5934.0	0.214
ENSG00000005073	0.0882464773696	0.0219858304247	10942.0	0.705
ENSG00000005075	0.0	0.0271019592606	12849.0	0.433
ENSG00000005100	5.11955600565e-06	0.015955393484	7988.0	0.295
ENSG00000005102	0.105773594633	0.0384208732277	15216.0	0.656
ENSG00000005108	0.0	0.00728674165308	2845.0	0.457
ENSG00000005156	0.00851891838454	0.0351657094899	14711.0	0.419
ENSG00000005175	0.0	0.0376489678748	15103.0	0.334
ENSG00000005187	5.16667106482e-06	0.00543265142498	1575.0	0.685
ENSG00000005189	0.0	0.00854321904057	3557.0	0.24
ENSG00000005194	0.0268430382929	0.0142195228267	6974.0	0.4
ENSG00000005238	0.0	0.0124027365554	5915.0	0.753
ENSG00000005243	0.0	0.00717984580789	2763.0	0.238
ENSG00000005249	0.0432226849301	0.0349229985231	14667.0	0.318
ENSG00000005302	0.0	0.015228276095	7565.0	0.518
ENSG00000005339	0.226432234928	0.107544350726	17166.0	0.422
ENSG00000005379	5.16667106482e-06	0.021774645865	10856.0	0.421
ENSG00000005381	0.0457900375118	0.0153191616619	7629.0	0.622
ENSG00000005421	0.0151535602403	0.0101278078774	4534.0	0.325
ENSG00000005436	0.0	0.019322206559	9749.0	0.509
ENSG00000005448	0.0	0.0114155447106	5309.0	0.554
ENSG00000005469	0.0	0.01175283563	5516.0	0.095
ENSG00000005471	0.150085619542	0.0331969892732	14335.0	0.164
ENSG00000005483	0.0299886393175	0.0183020134139	9251.0	0.744
ENSG00000005486	0.0	0.0123668122165	5889.0	0.351
ENSG00000005513	0.0321829745197	0.0267563858377	12746.0	0.668
ENSG00000005700	0.0	0.0304709635222	13720.0	0.576
ENSG00000005801	0.0	0.0072169311923	2795.0	0.709
ENSG00000005810	0.0303072685518	0.0315811946481	13982.0	0.393
ENSG00000005812	0.00111789253604	0.0139277468428	6804.0	0.751
ENSG00000005844	0.0218559819605	0.0184419576751	9320.0	0.362
ENSG00000005882	0.00764489837672	0.018356208362	9276.0	0.254
ENSG00000005884	0.137745472379	0.0363138688257	14908.0	0.496
ENSG00000005889	0.0112403196693	0.00621897900885	2178.0	0.692
ENSG00000005893	0.153685849303	0.0363504555732	14914.0	0.206
ENSG00000005955	0.0	0.00803264325228	3269.0	0.694
ENSG00000005961	0.105314369195	0.032948005882	14291.0	0.369
ENSG00000005981	0.00711806589032	0.0238411073429	11681.0	0.693
ENSG00000006007	0.000959385278003	0.0183428332056	9267.0	0.432
ENSG00000006015	0.0	0.0107763333474	4928.0	0.514
ENSG00000006016	0.205824896304	0.0330297900331	14303.0	0.365
ENSG00000006042	0.0835208388259	0.0160848998723	8056.0	0.252
ENSG00000006047	0.0113761255787	0.0110120663343	5048.0	0.553
ENSG00000006059	0.0	0.00871146472254	3662.0	0.57
ENSG00000006062	0.0322634999289	0.0293214750063	13426.0	0.493
ENSG00000006071	0.0971032953666	0.0236018811063	11576.0	0.26
ENSG00000006074	0.0	0.0118206352825	5559.0	0.343
ENSG00000006075	0.0	0.0158772533827	7940.0	0.491
ENSG00000006114	0.0	0.0179590635983	9062.0	0.17
ENSG00000006116	0.00491592849195	0.0105801796906	4842.0	0.173
ENSG00000006118	0.0372332707616	0.0360224129425	14851.0	0.721
ENSG00000006125	0.0	0.0400130820285	15419.0	0.196
ENSG00000006128	0.00706856313157	0.0177232571106	8946.0	0.857
ENSG00000006194	0.0	0.0169965945223	8551.0	0.55
