HGENE_ENSEMBL_ID	CONDITION_ID
ENSG00000106258	OMIM:145500
ENSG00000106327	OMIM:604250
ENSG00000106331	OMIM:125853
ENSG00000106341	OMIM:143890
ENSG00000106348	OMIM:180105
ENSG00000106462	OMIM:277590
ENSG00000106483	OMIM:265900
ENSG00000106571	OMIM:146510|OMIM:174200|OMIM:174700|OMIM:175700|OMIM:241800
ENSG00000106617	OMIM:194200|OMIM:261740|OMIM:600858
ENSG00000106633	OMIM:125851|OMIM:125853|OMIM:602485|OMIM:606176
ENSG00000106688	OMIM:222730
ENSG00000106692	OMIM:253800
ENSG00000106799	OMIM:132800
ENSG00000106819	OMIM:603932|OMIM:607850
ENSG00000106991	OMIM:187300
ENSG00000107099	OMIM:243700
ENSG00000107165	OMIM:203290
ENSG00000107187	OMIM:221750
ENSG00000107290	OMIM:602433|OMIM:606002
ENSG00000107485	OMIM:146255
ENSG00000107521	OMIM:203300
ENSG00000107537	OMIM:266500
ENSG00000107611	OMIM:261100
ENSG00000107736	OMIM:601067|OMIM:601386
ENSG00000107779	OMIM:174900
ENSG00000107789	OMIM:188470
ENSG00000107798	OMIM:278000
ENSG00000107815	OMIM:271245
ENSG00000107859	OMIM:107250
ENSG00000107882	OMIM:109400|OMIM:155255|OMIM:607174
ENSG00000107890	OMIM:188000
ENSG00000107968	OMIM:211980
ENSG00000108061	OMIM:607721
ENSG00000108231	OMIM:600512
ENSG00000108255	OMIM:600881
ENSG00000108370	OMIM:608415
ENSG00000108379	OMIM:273395
ENSG00000108381	OMIM:271900
ENSG00000108395	OMIM:253250
ENSG00000108474	OMIM:280000
ENSG00000108479	OMIM:230200
ENSG00000108556	OMIM:605809|OMIM:608931
ENSG00000108557	OMIM:182290
ENSG00000108576	OMIM:164230|OMIM:607834
ENSG00000108599	OMIM:115080
ENSG00000108691	OMIM:182940|OMIM:607948
ENSG00000108733	OMIM:266510
ENSG00000108753	OMIM:125853|OMIM:137920
ENSG00000108784	OMIM:252920
ENSG00000108821	OMIM:114000|OMIM:130000|OMIM:130060|OMIM:166200|OMIM:166210|OMIM:166220|OMIM:166710|OMIM:259420
ENSG00000108823	OMIM:608099
ENSG00000108946	OMIM:101800|OMIM:160980|OMIM:255960
ENSG00000108950	OMIM:204690
ENSG00000109063	OMIM:178110|OMIM:193700|OMIM:601680
ENSG00000109099	OMIM:118220|OMIM:118300|OMIM:139393|OMIM:145900|OMIM:162500|OMIM:180800
ENSG00000109101	OMIM:601705
ENSG00000109132	OMIM:209880
ENSG00000109163	OMIM:146110
ENSG00000109220	OMIM:601626
ENSG00000109424	OMIM:601665
ENSG00000109501	OMIM:116400|OMIM:125853|OMIM:222300|OMIM:600965
ENSG00000109775	OMIM:142669
ENSG00000109846	OMIM:608810
ENSG00000109861	OMIM:170650|OMIM:245000|OMIM:245010
ENSG00000109927	OMIM:601543|OMIM:603629
ENSG00000109929	OMIM:607330
ENSG00000110074	OMIM:252010|OMIM:256000
ENSG00000110090	OMIM:255120
ENSG00000110092	OMIM:114500|OMIM:193300|OMIM:254500
ENSG00000110243	OMIM:144650|OMIM:145750
ENSG00000110395	OMIM:607785
ENSG00000110400	OMIM:225060
ENSG00000110628	OMIM:114480|OMIM:211980|OMIM:268210
ENSG00000110711	OMIM:102200|OMIM:600634
ENSG00000110717	OMIM:256000
ENSG00000110719	OMIM:259700
ENSG00000110799	OMIM:193400|OMIM:277480
ENSG00000110911	OMIM:206100
ENSG00000110921	OMIM:175900|OMIM:260920
ENSG00000111012	OMIM:264700
ENSG00000111057	OMIM:215600
ENSG00000111199	OMIM:113500|OMIM:156530|OMIM:168400|OMIM:181405|OMIM:184095|OMIM:184252|OMIM:600175|OMIM:606071|OMIM:606835
ENSG00000111245	OMIM:608758
ENSG00000111252	OMIM:133100|OMIM:187950|OMIM:254450
ENSG00000111262	OMIM:160120
ENSG00000111319	OMIM:264350
ENSG00000111341	OMIM:245150
ENSG00000111361	OMIM:603896
ENSG00000111424	OMIM:277440
ENSG00000111537	OMIM:607948
ENSG00000111664	OMIM:145500
ENSG00000111670	OMIM:252500|OMIM:252600
ENSG00000111676	OMIM:125370
ENSG00000111678	OMIM:218340
ENSG00000111700	OMIM:237450
ENSG00000111713	OMIM:240600
ENSG00000111732	OMIM:605258
ENSG00000111846	OMIM:110800|OMIM:116700
ENSG00000112041	OMIM:600132
ENSG00000112053	OMIM:606766
ENSG00000112077	OMIM:185000|OMIM:268150
ENSG00000112210	OMIM:201000
ENSG00000112246	OMIM:601665
ENSG00000112319	OMIM:601316|OMIM:605362
ENSG00000112357	OMIM:215100
ENSG00000112367	OMIM:216340
ENSG00000112425	OMIM:254780
ENSG00000112562	OMIM:125400
ENSG00000112592	OMIM:168600|OMIM:607136
ENSG00000112619	OMIM:136880|OMIM:169150
ENSG00000112715	OMIM:603933
ENSG00000112761	OMIM:208230
ENSG00000112837	OMIM:143400
ENSG00000112964	OMIM:143890|OMIM:262500|OMIM:604271
ENSG00000113013	OMIM:182170
ENSG00000113249	OMIM:147050
ENSG00000113262	OMIM:257270
